,batterName,Run_Value
669,Pence,-6.193870257710734
542,Margot,-6.305999673564735
725,Refsnyder,-6.3209202398973625
537,Maile,-6.324968428546257
218,Delmonico,-6.391862611357726
792,Sano,-6.395300727369891
722,Reddick,-6.397757352020829
143,Castillo,-6.437351690217008
739,Richards,-6.4596897402352385
950,"Ward, T",-6.5817478447446955
559,Matz,-6.611508055973933
194,"Cruz, T",-6.635562630843386
927,Velasquez,-6.6395643464102125
162,Chen,-6.650136253197762
882,Szczur,-6.650901602481329
152,Centeno,-6.665474261561156
655,Osuna,-6.666702181181499
689,Phillips,-6.713108773013372
991,deGrom,-6.781250825207458
825,Sisco,-6.813463347487398
491,LaMarre,-6.84134990534456
756,"Rodriguez, S",-6.8805941800109585
